ESVId,Field_Control_1,Field_Control_2,Extraction_Blank_2,Extraction_Blank_1,EL_B,EL_M,EL_S,WQ_B,WQ_M,WQ_S,SL_B,SL_M,SL_S,PF_S,PF_B,HK_S,HR_B,BK_B,HR_M,BK_M,BK_S,HR_S,PB_S,RP_B,PB_B,PB_M,RP_S,RP_M
ESV_043672,248,0,0,0,139,159,367,136,165,68,876,410,290,96,121,113,219,318,248,1279,373,302,172,156,328,226,109,64
ESV_021524,0,0,0,0,170,183,351,149,170,71,440,229,154,98,296,224,69,137,72,391,104,85,331,278,612,360,226,139
ESV_021727,0,0,0,0,43,31,31,27,25,0,43,23,14,65,173,172,166,315,211,1097,256,192,297,240,392,296,121,81
ESV_021609,0,0,0,0,62,46,73,39,55,29,69,89,44,28,44,101,85,160,101,417,117,104,559,223,484,415,152,62
ESV_043958,0,0,1966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_021559,0,0,0,0,13,0,9,11,23,27,49,45,43,18,37,16,72,127,94,251,128,88,234,77,164,180,96,61
ESV_025329,0,0,0,0,43,39,50,34,43,10,54,35,30,38,112,146,21,37,35,159,36,39,155,114,267,165,46,33
ESV_043763,0,0,0,1552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_043828,103,1357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_043764,0,0,0,1412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_021651,0,0,0,0,39,8,0,29,53,0,45,40,77,13,27,133,0,13,11,135,0,21,162,140,166,62,108,44
ESV_043773,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,121,490,0,0,36,0,0,0,0,0,0
ESV_027796,0,0,0,0,10,18,21,14,16,0,32,12,12,17,64,59,17,17,23,99,23,19,59,38,102,70,26,15
ESV_043791,0,0,0,0,41,0,0,0,0,0,0,529,0,0,0,0,0,0,0,0,161,0,0,0,0,0,0,0
ESV_043926,0,0,0,0,0,0,0,711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_043790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,692,0,0,0,0,0,0,0
ESV_043726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,633,35,0,0,0
ESV_043699,0,590,0,0,8,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,10,11,10,10,10,0
ESV_022185,0,0,0,0,23,20,12,35,25,0,41,37,60,0,0,44,0,8,0,49,0,12,69,53,75,31,54,13
ESV_021641,0,0,0,0,50,37,21,44,51,0,46,31,45,0,0,20,0,0,0,22,0,13,40,34,40,16,37,10
ESV_043829,25,515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_021525,0,0,0,0,12,0,11,13,0,0,15,0,0,0,23,18,23,18,18,85,16,11,53,42,72,35,19,0
ESV_043748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,453,8,0,0,0
ESV_043875,0,0,0,0,0,0,0,0,0,0,0,0,443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_021937,0,0,0,0,0,0,0,11,12,0,10,15,19,0,0,40,0,9,0,42,0,12,79,51,50,21,28,29
ESV_043830,0,403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_043927,0,0,0,0,0,0,0,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_036828,12,0,0,0,0,0,0,0,0,0,0,0,0,9,20,18,36,15,36,34,19,62,12,0,9,0,0,9
ESV_043803,0,0,0,0,38,15,0,45,15,0,71,25,50,0,0,9,0,0,0,14,0,0,0,0,0,0,0,0
ESV_042677,0,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_043876,0,0,0,0,0,0,0,0,0,0,0,0,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_021691,8,0,0,0,0,0,0,0,0,11,15,0,16,8,0,0,0,10,9,20,11,0,46,32,34,23,13,0
ESV_000506,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_043893,0,0,0,0,0,0,0,0,0,8,0,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_043776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,20,151,27,21,0,0,0,0,0,0
ESV_043831,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_043711,0,0,0,0,0,0,0,13,9,0,0,15,16,0,9,11,10,10,0,22,0,9,27,11,26,26,0,0
ESV_025273,0,0,0,0,0,0,0,0,0,0,11,9,10,0,0,21,0,0,0,15,0,0,31,22,37,14,21,11
ESV_008229,0,0,0,0,0,0,0,0,0,0,0,0,0,11,16,0,0,0,9,0,0,0,9,0,10,93,24,29
ESV_021706,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,26,0,0,8,13,0,0,24,32,35,17,8,0
ESV_043703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,11,0,0,31,22,52,35,8,0
ESV_043880,0,0,0,0,19,27,17,21,21,0,27,16,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_043877,0,0,0,0,0,0,0,0,0,0,0,0,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_043765,0,0,0,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_043944,0,0,0,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_043691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,0
ESV_021543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,15,0,15,38,13,11,18,10,11,17,0,0
ESV_022189,0,0,0,0,12,0,0,20,20,0,36,24,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_043784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,16,108,0,0,10,0,0,0,0,0,0
ESV_043700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,8,14,16,0,0,21,27,27,14,9,0
ESV_006532,0,0,0,0,8,0,0,10,10,0,19,13,10,0,0,21,0,0,0,18,0,0,14,13,11,0,0,0
ESV_028969,0,0,0,0,8,0,0,8,0,0,9,0,0,0,12,8,14,8,11,13,10,13,12,0,10,9,0,0
ESV_043871,0,0,0,0,20,22,11,0,18,0,18,28,19,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
ESV_022236,0,0,0,0,17,11,10,14,15,0,30,20,14,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0
ESV_043697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,29,10,23,21,20,0
ESV_022910,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,11,20,12,11,19,9,10,23,0,0
ESV_043695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,23,16,30,36,22,0
ESV_043676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,23,15,37,8,18,15
ESV_043757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,11,65,25,8,15,0,0,0,0,0
ESV_043771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,27,0,0,84,0,0,0,0,0,0
ESV_022234,0,0,0,0,14,0,0,14,9,0,20,18,24,0,0,9,0,0,0,0,0,0,0,8,0,0,0,0
ESV_043713,0,0,0,0,0,0,0,11,0,0,8,0,8,0,12,20,0,0,0,0,0,0,9,8,23,17,0,0
ESV_043846,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_021910,0,0,0,0,0,0,11,0,0,0,10,0,0,0,0,0,0,0,0,25,0,0,0,16,28,13,11,0
ESV_043730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,8,8,34,11,0,9,12,18,0,0,0
ESV_043715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,13,23,0,9,14,0,21,16,0,0
ESV_043678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,15
ESV_022418,0,0,0,0,25,17,13,24,8,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_043832,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_007909,0,0,0,0,0,0,38,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_043847,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_043848,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_043751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,16,0,0,0,0
ESV_043782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,64,8,12,0,0,0,0,0,0
