Sample,Sample_Acronym,Site,Region,Depth_Class,Depth_m,Lat,Lon,Collection_Method,Sample_or_control,Filter_Date,Extraction_Date,Current_Velocity_no_m,Temp_no_m,Temp_9_m,light,diffuse_attenuation_coefficient,primary_productivity,dissolved_oxygen,nitrate,phosphate,pH,chlorophyll,chlorophyll_no_m,calcite
Rocky_Point_Surface,RP_S,Rocky_Point,Palos_Verdes,Surface,0,33.774848,-118.432079,Nalgene,Sample,8/7/2021,15/7/2021,0.2114919,16.92205,16.92205,40.23199844,0.178,0.052111,256.830125,4.544873,0.7974,8.2089996,1.360803,1.360803,0.000472
Rocky_Point_Midwater,RP_M,Rocky_Point,Palos_Verdes,Midwater,5.5,33.774848,-118.432079,Niskin,Sample,8/7/2021,15/7/2021,,,16.92205,15.11615693,0.178,0.000002,169.9093555,4.544873,0.7974,8.2089996,0.697171,,0.000472
Rocky_Point_Bottom,RP_B,Rocky_Point,Palos_Verdes,Benthos,11,33.774848,-118.432079,Niskin,Sample,8/7/2021,15/7/2021,0.262995,10.266344,10.266344,5.679514047,0.178,0.000002,82.988586,20.749498,2.079551,8.2089996,0.033539,0.033539,0.000472
Portuguese_Bend_Surface,PB_S,Portuguese_Bend,Palos_Verdes,Surface,0,33.724653,-118.35217,Nalgene,Sample,8/7/2021,15/7/2021,0.2704957,17.079622,17.079622,40.79800034,0.183,0.048416,256.741624,4.312171,0.779763,8.2089996,1.272525,1.272525,0.000483
Portuguese_Bend_Midwater,PB_M,Portuguese_Bend,Palos_Verdes,Midwater,6.3,33.724654,-118.35218,Niskin,Sample,8/7/2021,15/7/2021,,,17.079622,12.88227849,0.183,0,156.615975,4.312171,0.779763,8.2089996,0.6406775,,0.000483
Portuguese_Bend_Bottom,PB_B,Portuguese_Bend,Palos_Verdes,Benthos,12,33.724655,-118.35219,Niskin,Sample,8/7/2021,15/7/2021,0.192945,9.211719,9.211719,4.539699223,0.183,0,56.490326,26.715385,2.494772,8.2089996,0.00883,0.00883,0.000483
Horseshoe_Kelp_Surface,HK_S,Horseshoe_Kelp,Palos_Verdes,Surface,0,33.668862,-118.206941,Nalgene,Sample,8/7/2021,26/7/2021,0.2129805,17.124861,17.124861,41.13499832,0.248,0.048807,256.885928,4.062849,0.766907,8.2110004,1.258754,1.258754,0.001718
Point_Fermin_Surface,PF_S,Point_Fermin,Palos_Verdes,Surface,0,33.705942,-118.297902,Nalgene,Sample,,26/7/2021,0.2454078,17.107737,17.107737,41.135,0.18,0.049178,256.826264,4.142279,0.772077,8.21,1.27242,1.27242,0.000749
Point_Fermin_Bottom,PF_B,Point_Fermin,Palos_Verdes,Benthos,10,33.705942,-118.297902,Niskin,Sample,13/7/2021,26/7/2021,0.224008,16.869885,16.869885,6.800838901,0.18,0.037241,256.258118,3.424726,0.700156,8.21,0.994543,0.994543,0.000749
Harrison_Reef_Surface,HR_S,Harrison_Reef,Malibu,Surface,0,34.04318,-118.942422,Nalgene,Sample,8/7/2021,26/7/2021,0.1935048,16.411892,16.411892,39.74000168,0.18,0.045393,256.918847,4.555336,0.773529,8.2049999,1.213848,1.213848,0.00075
