"","EL_B","EL_M","EL_S","WQ_B","WQ_M","WQ_S","SL_B","SL_M","SL_S","PF_S","PF_B","HK_S","HR_B","BK_B","HR_M","BK_M","BK_S","HR_S","PB_S","RP_B","PB_B","PB_M","RP_S","RP_M"
"ESV_000862",0,0,0,6,14,2,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ESV_000989",0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
"ESV_001067",0,0,2,0,0,6,8,79,77,0,3,0,44,22,0,116,111,43,119,20,92,139,32,41
"ESV_002475",81,0,0,2,0,0,0,14,0,0,0,87,0,19,0,0,0,0,28,11,13,0,15,40
"ESV_002585",0,7,0,11,12,56,8,21,0,0,0,0,29,4,20,0,0,32,14,6,3,0,20,9
"ESV_005446",0,17,0,22,16,16,4,15,4,0,0,0,0,0,0,0,0,0,0,3,2,1,7,10
"ESV_010025",189,95,1,150,105,161,108,180,276,116,2,184,46,92,126,137,242,262,39,52,55,45,110,100
"ESV_011415",0,0,0,0,0,0,0,0,0,384,12,162,133,106,118,32,26,55,28,33,20,0,58,61
"ESV_015498",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
"ESV_023095",0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
"ESV_023862",0,0,0,3,0,0,0,0,0,0,0,0,22,0,6,0,0,0,37,6,11,5,0,0
"ESV_024792",0,0,0,5,16,2,0,12,0,0,0,27,12,0,28,112,57,0,105,68,40,59,50,65
"ESV_027122",0,0,0,0,2,3,0,16,1,0,0,0,0,0,20,10,4,0,16,0,0,32,45,52
"ESV_027123",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,0,61,43
"ESV_027124",0,0,0,10,2,0,0,6,1,0,3,0,3,25,17,0,8,16,4,13,15,6,7,21
"ESV_027125",6,35,1,125,61,101,15,14,32,0,0,0,41,72,8,41,35,33,20,8,12,31,20,17
"ESV_027126",0,0,0,0,0,0,0,0,0,0,0,0,32,6,47,0,0,10,0,10,10,0,18,11
"ESV_027129",0,3,0,0,0,0,0,0,0,0,1,0,48,61,38,0,0,0,19,42,79,31,0,9
"ESV_027132",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,8
"ESV_027133",0,0,0,0,0,2,0,30,2,0,0,0,3,0,0,7,0,0,28,0,14,26,0,10
"ESV_027138",0,6,1,0,12,8,3,36,47,0,0,0,4,4,0,0,0,5,6,0,0,16,3,4
"ESV_027148",18,9,0,4,2,10,0,8,10,0,0,0,29,31,7,14,12,13,0,197,62,0,16,0
"ESV_027149",0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,24,0,0,3,0,8,0
"ESV_027150",0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,4,8,0
"ESV_027151",0,0,0,0,0,0,0,0,0,0,480,0,11,0,0,6,5,0,0,0,0,0,6,0
"ESV_027153",195,308,492,156,237,14,349,9,0,0,0,0,0,42,0,27,0,0,0,23,36,14,10,0
"ESV_027158",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"ESV_027165",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
"ESV_027172",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"ESV_027191",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
"ESV_027193",11,0,0,0,0,16,5,42,13,0,0,0,19,0,0,0,0,0,7,0,0,50,0,0
"ESV_027195",0,7,1,0,8,25,0,7,1,0,0,0,0,0,0,0,0,0,16,0,0,10,0,0
"ESV_027198",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
"ESV_027212",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0
