"","Sample","Site","Region","Depth_Class","Depth_m","Lat","Lon","Collection_Method","Sample_or_control","Filter_Date","Extraction_Date","Current_Velocity_no_m","Temp_no_m","Temp_9_m","light","diffuse_attenuation_coefficient","primary_productivity","dissolved_oxygen","nitrate","phosphate","pH","chlorophyll","chlorophyll_no_m","calcite","is.neg"
"EL_B","Empires_Landing_Bottom","Empires_Landing","Catalina","Benthos","13.00","33.42907","-118.4364","Niskin","Sample","11/8/2021","12/8/2021","0.1135430"," 9.450925"," 9.450925","11.915281","0.095","0.000000"," 59.69364","25.395149","2.430449","8.207","0.0105110","0.010511","0.000341","FALSE"
"EL_M","Empires_Landing_Midwater","Empires_Landing","Catalina","Midwater"," 6.50","33.42907","-118.4364","Niskin","Sample","11/8/2021","12/8/2021",NA,NA,"17.192081","22.092931","0.095","0.000000","157.89170"," 3.352779","0.697628","8.207","0.4751705",NA,"0.000341","FALSE"
"EL_S","Empires_Landing_Surface","Empires_Landing","Catalina","Surface"," 0.00","33.42907","-118.4364","Nalgene","Sample","11/8/2021","12/8/2021","0.1741910","17.192081","17.192081","40.964001","0.095","0.035014","256.08976"," 3.352779","0.697628","8.207","0.9398300","0.939830","0.000341","FALSE"
"WQ_B","West_Quarry_Bottom","West_Quarry","Catalina","Benthos","21.30","33.44269","-118.4705","Niskin","Sample","11/8/2021","12/8/2021","0.1135430",NA," 9.450925"," 5.416249","0.095","0.000000"," 59.69364","25.395149","2.430449","8.207","0.0105110","0.010511","0.000341","FALSE"
"WQ_M","West_Quarry_Midwater","West_Quarry","Catalina","Midwater","10.65","33.44269","-118.4705","Niskin","Sample","11/8/2021","12/8/2021",NA,NA," 9.450925","14.895342","0.095","0.000000","157.89170","25.395149","2.430449","8.207","0.4751705",NA,"0.000341","FALSE"
"WQ_S","West_Quarry_Surface","West_Quarry","Catalina","Surface"," 0.00","33.44269","-118.4705","Nalgene","Sample","11/8/2021","12/8/2021","0.1741910","17.192081","17.192081","40.964001","0.095","0.035014","256.08976"," 3.352779","0.697628","8.207","0.9398300","0.939830","0.000341","FALSE"
"SL_B","Starlight_Bottom","Starlight","Catalina","Benthos","12.00","33.47507","-118.5442","Niskin","Sample","11/8/2021","12/8/2021","0.1360490","16.820719","16.820719","14.849833","0.084","0.030885","255.12970"," 3.096040","0.668215","8.207","0.8316940","0.831694","0.000240","FALSE"
"SL_M","Starlight_Midwater","Starlight","Catalina","Midwater"," 6.00","33.47507","-118.5442","Niskin","Sample","11/8/2021","12/8/2021",NA,NA,"17.136202","24.580079","0.084","0.030885","255.56181"," 3.303573","0.692317","8.207","0.8717200",NA,"0.000240","FALSE"
"SL_S","Starlight_Surface","Starlight","Catalina","Surface"," 0.00","33.47507","-118.5442","Nalgene","Sample","11/8/2021","12/8/2021","0.1422806","17.136202","17.136202","40.686001","0.084","0.033815","255.99392"," 3.303573","0.692317","8.207","0.9117460","0.911746","0.000240","FALSE"
"PF_S","Point_Fermin_Surface","Point_Fermin","Palos_Verdes","Surface"," 0.00","33.70594","-118.2979","Nalgene","Sample",NA,"26/7/2021","0.2454078","17.107737","17.107737","41.135000","0.180","0.049178","256.82626"," 4.142279","0.772077","8.210","1.2724200","1.272420","0.000749","FALSE"
"PF_B","Point_Fermin_Bottom","Point_Fermin","Palos_Verdes","Benthos","10.00","33.70594","-118.2979","Niskin","Sample","13/7/2021","26/7/2021","0.2240080","16.869885","16.869885"," 6.800839","0.180","0.037241","256.25812"," 3.424726","0.700156","8.210","0.9945430","0.994543","0.000749","FALSE"
"HK_S","Horseshoe_Kelp_Surface","Horseshoe_Kelp","Palos_Verdes","Surface"," 0.00","33.66886","-118.2069","Nalgene","Sample","8/7/2021","26/7/2021","0.2129805","17.124861","17.124861","41.134998","0.248","0.048807","256.88593"," 4.062849","0.766907","8.211","1.2587540","1.258754","0.001718","FALSE"
"HR_B","Harrison_Reef_Bottom","Harrison_Reef","Malibu","Benthos"," 6.50","34.04320","-118.9424","Niskin","Sample","9/7/2021","26/7/2021","0.1935050","16.233458","16.233458","12.335479","0.180","0.037462","256.56583"," 4.048652","0.730574","8.205","1.0263860","1.026386","0.000750","FALSE"
"BK_B","Big_Kelp_Bottom","Big_Kelp","Malibu","Benthos"," 7.00","34.00449","-118.7937","Niskin","Sample","9/7/2021","26/7/2021","0.1777850","16.459586","16.459586"," 5.704007","0.279","0.036368","256.15881"," 3.805008","0.716896","8.206","0.9880150","0.988015","0.000926","FALSE"
"HR_M","Harrison_Reef_Midwater","Harrison_Reef","Malibu","Midwater"," 3.25","34.04319","-118.9424","Niskin","Sample","9/7/2021","26/7/2021",NA,NA,"16.411892","22.140731","0.180","0.037462","256.74234"," 4.555336","0.773529","8.205","1.1201170",NA,"0.000750","FALSE"
"BK_M","Big_Kelp_Midwater","Big_Kelp","Malibu","Midwater"," 3.50","34.00449","-118.7937","Niskin","Sample","9/7/2021","26/7/2021",NA,NA,"16.587511","15.143444","0.279","0.036368","256.68291"," 4.485704","0.775175","8.206","1.1296650",NA,"0.000926","FALSE"
