"","Phylum","Class","Order","Family","Genus","Species"
"ESV_000862","Chordata","Actinopteri","Perciformes","Scorpaenidae","Scorpaenodes","Scorpaenodes evides"
"ESV_000989","Chordata","Mammalia","Artiodactyla","Suidae","Sus","Sus scrofa"
"ESV_001067","Chordata","Actinopteri","Atheriniformes","Atherinopsidae","Leuresthes","Leuresthes tenuis"
"ESV_002475","Chordata","Actinopteri","Carangiformes","Carangidae","Trachurus","Trachurus symmetricus"
"ESV_002585","Chordata","Actinopteri","Centrarchiformes","Kyphosidae","Medialuna","Medialuna californiensis"
"ESV_005446","Chordata","Actinopteri","unk_order","Pomacentridae","Chromis","Chromis punctipinnis"
"ESV_010025","Chordata","Actinopteri","Clupeiformes","Engraulidae","Engraulis","Engraulis mordax"
"ESV_011415","Chordata","Aves","Passeriformes","Corvidae","Aphelocoma","Aphelocoma coerulescens"
"ESV_015498","Chordata","Actinopteri","Cypriniformes","Cyprinidae",NA,"natural gynogenetic Carassius auratus red var."
"ESV_023095","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"ESV_023862","Chordata","Actinopteri","Pleuronectiformes","Cyclopsettidae","Citharichthys","Citharichthys stigmaeus"
"ESV_024792","Chordata","Actinopteri","unk_order","Embiotocidae","Brachyistius","Brachyistius frenatus"
"ESV_027122","Chordata","Actinopteri","Centrarchiformes","Kyphosidae","Hermosilla","Hermosilla azurea"
"ESV_027123","Chordata","Actinopteri","Lutjaniformes","Haemulidae","Haemulon","Haemulon plumierii"
"ESV_027124","Chordata","Actinopteri","unk_order","Opistognathidae","Opistognathus","Opistognathus evermanni"
"ESV_027125","Chordata","Actinopteri","Perciformes","Serranidae","Paralabrax","Paralabrax clathratus"
"ESV_027126","Chordata","Actinopteri","unk_order","Sciaenidae","Seriphus","Seriphus politus"
"ESV_027129","Chordata","Actinopteri","unk_order","Embiotocidae","Embiotoca","Embiotoca jacksoni"
"ESV_027132","Chordata","Actinopteri","unk_order","Sciaenidae","Menticirrhus","Menticirrhus littoralis"
"ESV_027133","Chordata","Actinopteri","Blenniiformes","Gobiesocidae","Rimicola","Rimicola muscarum"
"ESV_027138","Chordata","Actinopteri","unk_order","Opistognathidae","Opistognathus","Opistognathus aurifrons"
"ESV_027148","Chordata","Actinopteri","Labriformes","Labridae","Semicossyphus","Semicossyphus pulcher"
"ESV_027149","Chordata","Actinopteri",NA,"Sciaenidae","Menticirrhus","Menticirrhus undulatus"
"ESV_027150","Chordata","Actinopteri","Centrarchiformes","Girellidae","Girella","Girella nigricans"
"ESV_027151","Chordata","Actinopteri","Pleuronectiformes","Cynoglossidae","Symphurus","Symphurus atricaudus"
"ESV_027153","Chordata","Actinopteri","Labriformes","Labridae","Halichoeres","Halichoeres californicus"
"ESV_027158","Chordata","Actinopteri","Centrarchiformes","Girellidae","Girella","Girella simplicidens"
"ESV_027165","Chordata","Chondrichthyes","Myliobatiformes","Myliobatidae","Myliobatis","Myliobatis californica"
"ESV_027172","Chordata","Actinopteri","unk_order","Sciaenidae","Genyonemus","Genyonemus lineatus"
"ESV_027191","Chordata","Actinopteri","unk_order","Embiotocidae","Micrometrus","Micrometrus minimus"
"ESV_027193","Chordata","Actinopteri","Blenniiformes","Labrisomidae","Paraclinus","Paraclinus marmoratus"
"ESV_027195","Chordata","Actinopteri","unk_order","Sphyraenidae","Sphyraena","Sphyraena helleri"
"ESV_027198","Chordata","Actinopteri","Blenniiformes","Clinidae","Gibbonsia","Gibbonsia montereyensis"
"ESV_027212","Chordata","Actinopteri","Gobiiformes","Gobiidae","Gillichthys","Gillichthys mirabilis"
"ESV_027213","Chordata","Actinopteri","Pleuronectiformes","Pleuronectidae","Pleuronichthys","Pleuronichthys decurrens"
"ESV_027223","Chordata","Actinopteri","Perciformes","Serranidae","Paralabrax","Paralabrax nebulifer"
"ESV_027231","Chordata","Actinopteri","unk_order","Pomacentridae","Hypsypops","Hypsypops rubicundus"
"ESV_027245","Chordata","Actinopteri",NA,"Sciaenidae","Cheilotrema","Cheilotrema saturnum"
"ESV_027250","Chordata","Actinopteri","Pleuronectiformes","Pleuronectidae","Pleuronichthys","Pleuronichthys ritteri"
"ESV_027281","Chordata","Actinopteri","Blenniiformes","Blenniidae","Hypsoblennius","Hypsoblennius gilberti"
"ESV_027284","Chordata","Mammalia","Carnivora","Felidae","Lynx","Lynx rufus"
"ESV_027291","Chordata","Actinopteri","Perciformes","Cottidae","Scorpaenichthys","Scorpaenichthys marmoratus"
"ESV_027298","Chordata","Actinopteri","Perciformes","Scorpaenidae","Scorpaena","Scorpaena guttata"
"ESV_027304","Chordata","Actinopteri","Pleuronectiformes","Pleuronectidae","Pleuronichthys","Pleuronichthys coenosus"
