ESVId,EL_S,SL_B,SL_M,SL_S,PF_B,BK_B,HR_M,BK_M,BK_S,HR_S,PB_S,RP_B,PB_B,PB_M,RP_S
ESV_007909,115,0,0,43,0,0,0,0,0,0,0,0,0,0,0
ESV_021116,0,0,0,0,0,0,0,0,0,0,4,7,4,0,0
ESV_021524,377,346,178,147,652,431,390,440,326,305,450,413,553,452,403
ESV_021538,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
ESV_021609,68,74,79,67,95,231,214,179,200,175,414,201,269,325,255
ESV_021966,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
ESV_022910,0,0,0,0,0,0,10,5,9,10,9,5,2,12,0
ESV_043672,293,504,235,206,112,241,240,290,275,263,79,79,108,101,97
ESV_043682,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0
ESV_043691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137
ESV_043695,0,0,0,0,0,52,0,3,0,0,26,23,48,29,75
ESV_043701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
ESV_043705,0,0,0,0,0,0,0,5,49,0,0,0,0,60,24
ESV_043711,0,0,10,11,9,7,0,5,0,7,14,6,8,11,0
ESV_043732,0,0,0,0,0,0,8,2,0,0,0,4,5,0,0
ESV_043748,0,0,0,0,0,0,0,0,0,0,0,240,3,0,0
ESV_043749,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0
ESV_043762,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
ESV_043771,0,0,0,0,0,0,34,0,0,131,0,0,0,0,0
ESV_043772,0,0,0,0,0,0,26,0,0,60,0,0,0,0,0
ESV_043776,0,0,0,0,0,22,18,32,20,22,0,0,0,0,0
ESV_043781,0,0,0,0,0,9,0,3,0,11,0,0,0,0,0
ESV_043783,0,0,0,0,0,7,0,6,0,8,0,0,0,0,0
ESV_043787,0,0,0,0,0,0,13,4,0,8,0,0,0,0,0
ESV_043791,0,0,306,0,0,0,0,0,120,0,0,0,0,0,0
ESV_043794,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
ESV_043803,0,39,10,34,0,0,0,4,0,0,0,0,0,0,0
ESV_043824,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
ESV_043873,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0
ESV_043874,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0
ESV_043875,0,0,0,299,0,0,40,6,0,0,0,0,0,0,0
ESV_043878,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0
ESV_043879,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0
ESV_043881,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
ESV_043893,0,23,149,111,0,0,0,0,0,0,0,0,0,0,0
ESV_043894,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0
ESV_043898,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
ESV_043903,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
ESV_043912,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_043918,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_043919,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_043924,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
ESV_043944,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_043945,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_043947,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
